word,count_1996,count_2024,freq_1996,freq_2024,log_ratio_2024_vs_1996
stillness,0,2,0.00000000,0.00000668,0.000007
stimulated,0,2,0.00000000,0.00000668,0.000007
stimulates,0,2,0.00000000,0.00000668,0.000007
stimulating,0,1,0.00000000,0.00000334,0.000003
stimulation,0,4,0.00000000,0.00001335,0.000013
stimuli,0,5,0.00000000,0.00001669,0.000017
stimulus,0,2,0.00000000,0.00000668,0.000007
stiny,0,5,0.00000000,0.00001669,0.000017
stirred,0,2,0.00000000,0.00000668,0.000007
stirring,0,1,0.00000000,0.00000334,0.000003
stochastic,5,65,0.00130719,0.00021697,-0.001089
stock,0,8,0.00000000,0.00002670,0.000027
stocks,0,2,0.00000000,0.00000668,0.000007
stoetzer,0,4,0.00000000,0.00001335,0.000013
stoichiometry,0,2,0.00000000,0.00000668,0.000007
stokes,0,19,0.00000000,0.00006342,0.000063
stone,0,8,0.00000000,0.00002670,0.000027
stoner,0,2,0.00000000,0.00000668,0.000007
stoney,0,2,0.00000000,0.00000668,0.000007
stoplights,0,1,0.00000000,0.00000334,0.000003
stoppard,0,1,0.00000000,0.00000334,0.000003
stops,0,3,0.00000000,0.00001001,0.000010
storage,0,48,0.00000000,0.00016022,0.000160
store,0,1,0.00000000,0.00000334,0.000003
stored,0,4,0.00000000,0.00001335,0.000013
stories,0,58,0.00000000,0.00019360,0.000194
storing,0,2,0.00000000,0.00000668,0.000007
storms,0,2,0.00000000,0.00000668,0.000007
stormwater,0,1,0.00000000,0.00000334,0.000003
story,0,15,0.00000000,0.00005007,0.000050
storyboarding,0,5,0.00000000,0.00001669,0.000017
storyboards,0,3,0.00000000,0.00001001,0.000010
storylines,0,2,0.00000000,0.00000668,0.000007
storytelling,0,46,0.00000000,0.00015355,0.000154
stowe,0,3,0.00000000,0.00001001,0.000010
stoy,0,2,0.00000000,0.00000668,0.000007
straight,0,2,0.00000000,0.00000668,0.000007
strain,1,19,0.00026144,0.00006342,-0.000198
strains,0,6,0.00000000,0.00002003,0.000020
strait,0,2,0.00000000,0.00000668,0.000007
straits,0,1,0.00000000,0.00000334,0.000003
strang,0,2,0.00000000,0.00000668,0.000007
strange,0,2,0.00000000,0.00000668,0.000007
strangers,0,1,0.00000000,0.00000334,0.000003
strano,0,6,0.00000000,0.00002003,0.000020
strategic,7,109,0.00183007,0.00036384,-0.001465
strategically,0,2,0.00000000,0.00000668,0.000007
strategies,5,203,0.00130719,0.00067761,-0.000629
strategists,0,1,0.00000000,0.00000334,0.000003
strategy,5,158,0.00130719,0.00052740,-0.000779
stratification,0,14,0.00000000,0.00004673,0.000047
stratified,0,12,0.00000000,0.00004006,0.000040
stratifies,0,1,0.00000000,0.00000334,0.000003
stratigraphic,0,2,0.00000000,0.00000668,0.000007
stratigraphy,0,1,0.00000000,0.00000334,0.000003
stravinsky,0,3,0.00000000,0.00001001,0.000010
strayed,0,1,0.00000000,0.00000334,0.000003
stream,0,4,0.00000000,0.00001335,0.000013
streaming,0,5,0.00000000,0.00001669,0.000017
streamline,0,2,0.00000000,0.00000668,0.000007
streamlined,0,27,0.00000000,0.00009013,0.000090
streams,0,1,0.00000000,0.00000334,0.000003
streamwise,0,1,0.00000000,0.00000334,0.000003
street,0,3,0.00000000,0.00001001,0.000010
streets,0,3,0.00000000,0.00001001,0.000010
strela,0,1,0.00000000,0.00000334,0.000003
strength,0,32,0.00000000,0.00010682,0.000107
strengthen,0,4,0.00000000,0.00001335,0.000013
strengthening,0,5,0.00000000,0.00001669,0.000017
strengthens,0,3,0.00000000,0.00001001,0.000010
